dates,topic,lead
2025-07-10,Chapter 2 (Geographic data in R),
2025-07-31,,
2025-08-07,,
2025-08-14,,
2025-08-21,,
2025-09-04,,
2025-09-11,,
2025-09-25,,
2025-10-02,,
2025-10-09,,
